parent_document_id,document_id,accumulated_accuracy,anRepeatedItem,browser,browser_version,codeversion,condition,correct,correct_appear1,correct_appear2,correct_response,correct_response_key,current_assignmentTypesWithinList,designversion,fullscreen,height,id,id_picName,internal_node_id,is_changedfullscreen,is_chosenFinal,is_currentObjAppear1,is_finished,is_old,is_studied_appear0_initial,is_studied_appear1_initial,is_studied_appear2_initial,is_tested_appear0_initial,is_tested_appear1_initial,is_tested_appear2_initial,listNum_appear0_initial,listNum_appear1_initial,listNum_appear2_initial,listNum_infinalOrder,listNum_pickedFrom,microphone,mobile,num_CurrObjAppear,os,presPos_digit,question_order,recognition_correct,response,responsesum,rt,session_id,stimulus,stimulusConditionName_nPlusOneTrial,stimulusConditions,stimulus_id,studyPos_appear0_initial,studyPos_appear1_initial,studyPos_appear2_initial,study_id,subject_id,success,sum_currList,task,testPos_appear0_initial,testPos_appear1_initial,testPos_appear2_initial,testPos_final,time_elapsed,timepassed_mins,trial_index,trial_type,type_code_studiedCurr,type_code_testiedCurr,type_code_testiedNext,type_comment,vsync_rate,webaudio,webcam,width
DEBUGV2,8wakw9j5xPcitP18GkMZ,0,True,,,2,r,False,False,,,f,T_foil,3,,1728,DEBUGV2,1 (1135).jpg,0.0-14.0-10.0-0.3,0,False,True,0,False,False,False,False,True,True,False,10,10,0,,0,,,1,,,,0,,,,,images/1 (1135).jpg,Fnn+1,Fnn,,0,0,0,,DEBUGV2,,,initialTest_response,4,4,0,0,32732,0.56,738,image-keyboard-response,0,1,1,"tested only, in next trial",,,,2562
DEBUGV2,90DJVVmCfHdOP8S5uNVs,0,False,,,2,r,False,False,,,j,T_target,3,,1728,DEBUGV2,1 (587).jpg,0.0-5.0-10.0-0.3,0,False,True,0,False,True,True,False,True,True,False,1,1,False,,0,,,1,,,,0,,,,,images/1 (587).jpg,B,B,,6,6,0,,DEBUGV2,,,initialTest_response,4,4,0,0,21591,0.37,54,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,99fLEtfSwNCjsS6TviVU,,,,,2,r,,,,,,,3,,1728,DEBUGV2,,0.0-8.0-0.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,"
    <p style='text-align: justify;color: black;background: white;font: caption-;''>
        Press the 'enter' key to see the next list of pictures. </p>
    ",,,,,,,,DEBUGV2,,,,,,,,24651,0.42,233,html-keyboard-response,,,,,,,,2562
DEBUGV2,99xjw1scrOhztPGbeDjP,,,,,2,r,,,,,,,3,,1728,DEBUGV2,,0.0-6.0-5.0-0.7,0,,,0,,,,,,,,2,,,,,,,,,8,,,,,,,6,,,6,,,,,DEBUGV2,,49,digitPresentation,,,,,22680,0.39,122,html-keyboard-response,,,,,,,,2562
DEBUGV2,9IVkMxvrRmX5L3savdQx,0,True,,,2,r,False,False,False,,f,T_foil,3,,1728,DEBUGV2,1 (252).jpg,0.0-6.0-10.0-0.5,0,True,False,0,False,False,False,False,True,False,True,2,1,2,,0,,,2,,,,0,,,,,images/1 (252).jpg,Fnn,Fnn,,0,0,0,,DEBUGV2,,,initialTest_response,6,0,6,477,22853,0.39,132,image-keyboard-response,0,1,1,"tested only, in next trial, from last trial",,,,2562
DEBUGV2,9PoLHiKXWpVshWGjqS1W,,,,,2,r,,,,,,,3,,1728,DEBUGV2,,0.0-6.0-3.0-0.0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,Summing up the digits as they appear,,,,,,,,DEBUGV2,,,prompt,,,,,22577,0.39,113,html-keyboard-response,,,,,,,,2562
DEBUGV2,9bVcQCIbOXpc6QlcShBW,,False,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (1320).jpg,0.0-11.0-2.0-0.22,0,True,True,0,,True,True,False,False,False,False,7,7,0,4,0,,,1,,,,,,,,,images/1 (1320).jpg,A,A,,23,23,0,,DEBUGV2,,,initial_study,0,0,0,187,28666,0.49,485,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
DEBUGV2,9jbfN0hbOcd0FL18yQPd,,True,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (1063).jpg,0.0-7.0-2.0-0.20,0,True,True,0,,True,True,False,False,False,True,3,3,4,1,0,,,1,,,,,,,,,images/1 (1063).jpg,Cn+1,Cn,,21,21,0,,DEBUGV2,,,initial_study,0,0,7,49,23687,0.41,179,image-keyboard-response,1,0,1,"studied only, in next trial",,,,2562
DEBUGV2,9ngh1G6Se06jMp0yaWh0,,True,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (2356).jpg,0.0-8.0-2.0-0.2,0,True,True,0,,True,True,False,True,True,True,4,4,5,8,0,,,1,,,,,,,,,images/1 (2356).jpg,Dn+1,Dn,,3,3,0,,DEBUGV2,,,initial_study,29,29,1,350,24698,0.42,237,image-keyboard-response,1,1,1,"current target, in next trial",,,,2562
DEBUGV2,9qKkjvu3FVKYnbEfOkS3,,False,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (611).jpg,0.0-6.0-2.0-0.9,0,False,True,0,,True,True,False,False,False,False,2,2,0,,0,,,1,,,,,,,,,images/1 (611).jpg,A,A,,10,10,0,,DEBUGV2,,,initial_study,0,0,0,0,22332,0.38,92,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
DEBUGV2,9qX8JAGrBwZbH8LgSuUN,0,True,,,2,r,False,False,,,j,T_target,3,,1728,DEBUGV2,1 (1136).jpg,0.0-8.0-10.0-0.26,0,False,True,0,False,True,True,False,True,True,True,4,4,5,,0,,,1,,,,0,,,,,images/1 (1136).jpg,Dn+1,Dn,,22,22,0,,DEBUGV2,,,initialTest_response,27,27,2,0,25790,0.44,305,image-keyboard-response,1,1,1,"current target, in next trial",,,,2562
DEBUGV2,9yhXdaMQtR3cApxf7XZI,,False,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (201).jpg,0.0-9.0-2.0-0.29,0,False,True,0,,True,True,False,True,True,False,5,5,0,,0,,,1,,,,,,,,,images/1 (201).jpg,B,B,,30,30,0,,DEBUGV2,,,initial_study,18,18,0,0,26263,0.45,340,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,A1QvgxrSJDcJRzlApe69,0,False,,,2,r,False,False,,,j,T_target,3,,1728,DEBUGV2,1 (2115).jpg,0.0-5.0-10.0-0.22,0,True,True,0,False,True,True,False,True,True,False,1,1,False,,0,,,1,,,,0,,,,,images/1 (2115).jpg,B,B,,5,5,0,,DEBUGV2,,,initialTest_response,23,23,0,380,22018,0.38,73,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,A5LC5eF7VvfwSH0xPo26,,False,,,2,r,,,,,,T_target,3,,1728,DEBUGV2,1 (1645).jpg,0.0-5.0-2.0-0.1,0,True,True,0,,True,True,False,True,True,False,1,1,0,7,0,,,1,,,,,,,,,images/1 (1645).jpg,B,B,,2,2,0,,DEBUGV2,,,initial_study,8,8,0,339,21006,0.36,8,image-keyboard-response,1,1,0,"current target, not in next trial",,,,2562
DEBUGV2,ABz1I58V6ypHIzP2z3oM,,False,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (537).jpg,0.0-7.0-2.0-0.24,0,True,True,0,,True,True,False,False,False,False,3,3,0,5,0,,,1,,,,,,,,,images/1 (537).jpg,A,A,,25,25,0,,DEBUGV2,,,initial_study,0,0,0,251,23733,0.41,183,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
DEBUGV2,ALwpZn9FD3YQHUqxpEpc,,False,,,2,r,,,,,,T_nontarget,3,,1728,DEBUGV2,1 (1812).jpg,0.0-9.0-2.0-0.7,0,True,True,0,,True,True,False,False,False,False,5,5,0,8,0,,,1,,,,,,,,,images/1 (1812).jpg,A,A,,8,8,0,,DEBUGV2,,,initial_study,0,0,0,368,25986,0.44,318,image-keyboard-response,1,0,0,"studied only, not in trial",,,,2562
